,event,preprocessed_text
0,12th Man,uts ace pulled in the st more get yanked after that ags lead in the top of the th prager did his job former sip stewart now with the good guys got us outta of jam a long way to go still but great start lets go fightin texas aggies th man doing their part
1,Aggie Band,your fightin texas aggie band
2,Aggie Gameday,good morning aggieland wake up wake up its fightin texas aggie gameday gigthemall
3,Arkansas,so to for putting me on and to aggie football gtgtgt arkansas for the umteenth time
4,Arkansas,thoughts about tamu aggie football vs arkansas razorback football this is an amateur observational review of several plays and progressions mostly aggie offense a thread or two
5,Other / Unknown,big play dae abc gigem bthomissouri
6,Other / Unknown,pressureeeee abc gigem
7,Other / Unknown,gigem
8,Other / Unknown,goooooddd morning bronco nation its another beautiful day in the valley and another great day for some bronco football lets pound some beers and get ready to round up some aggies lemme hear ya boooiiisssseee
9,Other / Unknown,victory gigem
10,Other / Unknown,
11,Other / Unknown,headed to the second quarter gigem bthomissouri
12,Other / Unknown,maroon everything no joke gigem bthomissouri
13,Other / Unknown,with the spin move abc gigem
14,Other / Unknown,seeing double gigem bthomissouri
15,Other / Unknown,in summary gigem
16,Other / Unknown,gigem
17,Other / Unknown,we have some of them aggie boyz at the house for some bbq and watchin football saturday chillin after a great win last night aggieairraid darksidedefense usvsus god is good
18,Other / Unknown,up and at em thman its gameday gigem bthomissouri
19,Other / Unknown,head to toe gigem bthomissouri
20,Other / Unknown,another one thank you gigem
21,Other / Unknown,aggie nation showed out this past saturday aggieup x rideforthebrand
22,Other / Unknown,lobo football is on a bye week which means you get a buy week deal since we beat the aggies last saturday by ten we are offering ten dollars off select seating for our game against air force for this weekend only flash sale golobos earnednotgiven
23,Other / Unknown,watching bigmoney football teams strategically nudge their way to the top fouls confidence shattered n the less advantaged team stands no chance congrats tamu buying your way to next week collegefootballcorruption unfairplay texasambias footballpolitics miz
24,Other / Unknown,i was so nervous about this game i love this coach we got ourselves a football dude hes got this team firing on all cylinders weigman is lights out moss is a stud these receivers are catching everything and this defense has a death grip on the tigers throat
25,Other / Unknown,conan making the left break before landing at kcll going to be the flyover at tamu football tomorrow i need to get into the video from my notagopro and see how much of that is usable
