text,timestamp,likes,retweets
"Man, what an absolute dot this was from Marcel Reed on the opening drive against Bowling Green.

Outstanding catch &amp; concentration from Theo Ohrstrom as well. #12thMan #GigEm https://t.co/qRXETNSr3o",Mon Sep 23 12:20:29 +0000 2024,7,0
"Late pass break up for the Aggies:
#12thMan #GigEm https://t.co/mDn0Bih0FT",Sun Sep 22 02:42:00 +0000 2024,3,0
"Just about ready to kick this one off as the Aggies run out of the locker room to ‘Power.’
#12thMan #GigEm https://t.co/uXIbSVvXFB",Sat Sep 21 23:30:08 +0000 2024,4,0
"107,000 plus as The Spirit of Aggieland rings out from the #12thMan https://t.co/OhR2xINJfJ",Sun Sep 01 04:36:18 +0000 2024,1016,74
#HappyThankgiving #12thMan http://t.co/38cKDKXhaX,Fri Nov 28 01:55:20 +0000 2014,12571,2515
"Aggies specialists making their way onto the field for pregame:
#12thMan #GigEm https://t.co/tx16J9iXU3",Sat Sep 21 22:28:39 +0000 2024,4,0
Arrived in Aggieland!!! #12thMan https://t.co/oosT6ozd1x,Sat Sep 07 15:34:17 +0000 2024,318,14
"Aggies O-line coach Adam Cushing get his group fired up:
#12thMan #GigEm https://t.co/AOcvc7UCeE",Sat Sep 21 22:57:40 +0000 2024,7,0
"Despite being set to miss his second consecutive game, Conner Weigman looks to be in high spirits dapping up the RBs as they come out onto the field:
#12thMan #GigEm https://t.co/KaHzEtIxT1",Sat Sep 21 22:42:26 +0000 2024,2,0
"As Conner Weigman is on the field in street clothes, Marcel Reed looks comfortable and confident preparing for his second career start:
#12thMan GigEm https://t.co/6rcqrGg9jd",Sat Sep 21 22:38:26 +0000 2024,4,1
"#KennethWalker (oblique) before Patriots game doesn't seem uncomfortable and I still think he would have played if it were a playoff game. I don't buy Ian Rapaport's 'multiple weeks' scenario, the rest will surely help and he'll go vs Dolphins. #12thMan https://t.co/XoAaUUXLwl",Mon Sep 16 21:24:50 +0000 2024,16,0
"#AkshayKumar's next is also a remake😢:

#KhelKhelMein is the next movie all set for release this August from #AkshayKumar. It is the remake of Italian film #PerfectosDesconocidos. The Italian film was also the inspiration for the Malayalam film #12thMan starring #Mohanlal.

©On https://t.co/xYYGR9y7n7",Thu Aug 01 05:27:26 +0000 2024,519,32
"🎬 #12thMan ; [ 3/5 ⭐ ]
2022 | Mystery, Thriller | Hotstar 📺

Thread 🧵, in Tamil 🍿

படத்தின் தொடக்கத்தில் விரைவில் திருமணமாகப்போகும் நண்பரின் #Bachelor Party-யை கொண்டாட மலைப் பிரதேசம் ஒன்றுக்கு பயணப்படுகிறது 11 பேர் கொண்ட நண்பர்கள் குழு. ⬇️ https://t.co/6BYSpAHsyF",Thu Jun 27 13:20:59 +0000 2024,345,45
"#AUSvIND 
We’ve got Pant
Rishab Pant
I just don’t think you’ll understand 
He’ll hit you for a six
He’ll babysit your kids 
We’ve got Rishab Pant 
.
.
.
#BharatArmySongBook @RishabPant777 #BharatArmy #TeamIndia #12thMan #WeveGotPant #COTI 🇮🇳👶🍼 https://t.co/ZiXaPWqi6M",Fri Jan 04 00:40:49 +0000 2019,21660,6255
"Goodnight #12thMan 👍

#GigEm https://t.co/n7rHITa3qq",Sun Sep 08 02:10:00 +0000 2024,960,49
"Marcel Reed looked locked in for pregame. A young QB who surely benefited from a quality first start last week.

Looking to build on that tonight against Bowling Green.
#12thMan #GigEm https://t.co/OXaj8vHRcy",Sat Sep 21 23:23:00 +0000 2024,2,0
Who's got it better than us?!!!! NOOOOOBOOODDDYYYY! Hahaha #12thman #WVU,Mon Jan 20 03:27:12 +0000 2014,1564,1407
Film Session w/ Coach 30 - Texas A&amp;M #12thMan https://t.co/gMWySDnd49,Wed Sep 29 17:37:03 +0000 2021,11197,2165
"#12thMan, get ready for more gameday sights &amp; sounds at Kyle Field tomorrow! 👍

#GigEm | @HEB https://t.co/VaFQd8oQJV",Fri Sep 20 19:14:28 +0000 2024,113,12
