text,timestamp,likes,retweets
sun and kenie told me about #redrawgiyuu so i had to https://t.co/ComcOkIaED,Tue Sep 03 08:19:40 +0000 2019,7957,3021
ガガガ始まった。リハでテンションが上ったので、お父さんが子どもたちを英才教育に連れて行ってくれたようだ。昨日帰りにイオン寄ってスタンプラリーの500円券いただいたので、子どもたちは駄菓子の豪遊させてもらって、今日それを食べて楽しく過ごしています。 #ITAMIGREENJAM https://t.co/JqmvFRKRpo,Mon Sep 23 07:45:40 +0000 2024,1,0
"もくもく会作業捗ってます！
というポストを出し忘れるくらい捗ってました。
お土産で持って行ったお菓子サルミアッキがまだ超残ってるので次回に持ち越します！

#ギャースタジオ #GYAARStudio #ギャースタもくもく会 https://t.co/SNlf6oW2yY",Sat Sep 21 11:58:50 +0000 2024,19,2
【#AGF2016】「ギヴン」限定アイテム『アクリルビッグキーホルダーセット』『トートバッグ』『タペストリー』は今ならまだお買い求めいただけます。W-22でお待ちしています☆ #ギヴン https://t.co/s0MCfSAxa0,Sun Nov 06 04:34:22 +0000 2016,289,96
"EMBRACE THE GRIND! #GigEm #Aggieland #aggies #TAMU 
#aggies
@Coach_Ellsworth @CoachMikeElko @SpenceChaos @CK_KleinCollin @CoachBateman @HolmonWiggins @TonyJerodEddie @CoachCushing @AggieFootball @AggiesRecruitEx @TexAgs @TA_Recruiting 
@BCollierPPI @PPIRecruits https://t.co/nUvcIdR6T4",Wed Sep 18 19:50:10 +0000 2024,12,4
【アニメイトガールズフェスティバル】タカラトミーアーツブースでは、キヅナツキ先生描き下ろしの「ギヴン」アイテムを色々とご用意しています。こちらは『アクリルビッグキーホルダーセット』。ぜひペアでつけてくださいね☆ #AGF2016 https://t.co/72z3VuanBp https://t.co/WUvdJOSnrL,Thu Sep 29 03:57:18 +0000 2016,450,205
【アニメイトガールズフェスティバル情報】キヅナツキ先生に特別に描きおろしいただいたイラストを使用した、「ギヴン」の限定＆先行アイテムを販売します！詳しくはHPを☆ #AGF2016 https://t.co/72z3VuanBp https://t.co/NZPw4bNLpS,Mon Aug 29 08:30:03 +0000 2016,951,434
"タテガミは、問い合わせの結果、送っていただけることになりました。
壽屋さま、ありがとうございます。

ちょっとモールド甘いなぁ…ってところあるけど、大満足です。
バッキバキジェネシック、カッコいい！
…片腕作るのに1時間半かかるけどな！！
#AMAKUNITECH
#ジェネシックガオガイガー https://t.co/AW5dQ4joCr",Sat Sep 21 02:53:23 +0000 2024,1,0
【アニメイトガールズフェスティバル】本日ついに「ギヴン」の限定アイテム公開です！AGFのために、キヅナツキ先生に特別に描き下ろしていただいたイラストを使用したグッズをたくさんご用意しました。お見逃しなく♡ #AGF2016 #ギヴン https://t.co/72z3VuanBp https://t.co/Y89NebXbzZ,Wed Sep 28 08:23:01 +0000 2016,324,162
"#Niger🇳🇪 #Timia 
Partons à la découverte de Timia, localisée au centre du massif de l’Aïr, à 150 km au sud d’Iferouāne et à 220 km au nord-est d’Agadez.
Cette oasis montagneuse étire sur trois kilomètres ses maisons en banco et sa palmeraie.
#Artisanat
#Tourisme
#CNSP https://t.co/ACqycFt1QM",Thu Apr 11 08:05:09 +0000 2024,279,28
