text,timestamp,likes,retweets
"You're not a real man if you quit watching
#gigiez #LFGIGI https://t.co/XJb9saaZEQ",Sun Sep 22 06:02:12 +0000 2024,16,1
"gf fnf appreciation doodles i think

#fnf #fridaynightfunkin #fnfgf https://t.co/e14o5CknhO",Sat Jul 22 04:39:54 +0000 2023,320,64
"HAPPY [late lol] NATIONAL GF DAY!! 💖💖

Made this piece of artwork to appreciate all the gfs FNF has had!!(and also some funny lil cameos lol)

#gffnf #FNF #fridaynightfunkin #fnfgf https://t.co/iWkS1ltyNl",Tue Aug 02 20:19:20 +0000 2022,215,60
"JAYLON JONES WITH HIS 2ND INTERCEPTION OF THE GAME 

#GigEm x #NFLAggies https://t.co/x9HzszKUly",Sun Sep 22 19:14:26 +0000 2024,520,22
"LETS FUCKING GOOOOOOOOOOO

NIMMOOOOOOOOOOOOOO

#LFGM #LGM #OMG https://t.co/3ckUowRCST",Fri Sep 20 00:01:48 +0000 2024,0,0
"We’re excited to finally launch our “Gaze” merch on 9/23/22 at 3pm EST! #NSB #Regie
—
https://t.co/QREZpB0A9X https://t.co/fqYSxszFLM",Fri Sep 23 02:19:14 +0000 2022,952,98
"💖 Interest check! 💖

Would there be people interested in getting Badges to be delivered to them at NFC? 👉👈👁️✨

These are €350 each and includes printing and handling with a QR code to a link of your choice at the back ✨

If interested reply in this thread or DM me✨ https://t.co/Uu8bN3GBF7",Sat Jan 06 16:27:04 +0000 2024,221,22
Just a few recent #GigEm works. Really like the looks of these. 👀💯 Where my A&amp;M fans at tho? 👍🏼 https://t.co/EQbDRP3mK8,Sat May 19 00:12:03 +0000 2018,369,52
"Ready for #GagCityReloaded can’t wait to see you @NICKIMINAJ 
#GagCityLosAngeles 
#GagCityInglewood https://t.co/KahEPF7bEz",Mon Sep 23 00:53:51 +0000 2024,67,22
"Today was a success!! 💯

Just a few of my favorite graphics from #GigEmGang19. Can’t wait to see what these guys do in the future... 👍🏼

#NSD2019 https://t.co/pd0vCkFOUz",Wed Dec 19 22:16:41 +0000 2018,338,36
"🎉 AGF2022 VTuber Group Reveal! 🎉

✨#Luxiem and #VOLTACTION will be participating in #AGF_2022!✨
All new goods and a special exhibition will be available at「にじさんじ＆NIJISANJI EN」booth!

We will be releasing the new illustrations very soon, so stay tuned!!

#NIJISANJI_EN https://t.co/aNQ6WzgLXg",Fri Aug 26 03:00:01 +0000 2022,30729,5284
They got up on their good foot!! #GAGCITY #WeLoveYouNicki 🎀🤍🎀🤍,Fri Sep 20 23:38:00 +0000 2024,4,0
"The man is incredible 👀 

#GigEm x #NFLAggies https://t.co/KYFyu8mxgE",Tue Sep 26 02:15:29 +0000 2023,464,25
"WE SEE YOU @edgerrincooper1 😤 

#GigEm x #NFLAggies https://t.co/iMyE7snErk",Sun Sep 22 19:56:35 +0000 2024,288,12
"#GagCityInglewood 
❤️👑🦄💪🏿💪🏿💪🏿💪🏿",Sun Sep 22 22:10:58 +0000 2024,0,0
