text,timestamp,likes,retweets
"Join the Young Aggies of San Antonio for a WATCH PARTY at The Angry Elephant! Wear maroon, bring friends, and YELL for your Fightin' Texas Aggies vs. Mizzou! 

📍 19314 US-281 #107, San Antonio, TX 78258  
⏰ 11:00 AM https://t.co/pPZCTmzJBS",Sat Oct 05 14:12:04 +0000 2024,0,0
"Please join the team in welcoming the new head coach of Texas A&amp;M Men’s Lacrosse, Travis Doak!

Travis served as an assistant coach in the 2023/2024 season and enthusiastically returns in his new role with high hopes of continuing the legacy of success for the Fightin’ Aggies. https://t.co/icJJp7ycyb",Fri Sep 06 22:57:00 +0000 2024,42,2
"GIG ‘EM AGGIES! 

Texas A&amp;M has rushed out to a large lead before the half. Missouri looks overmatched. 
#GigEm #Aggies 
 https://t.co/ZGYea5pLp7",Sat Oct 05 17:12:38 +0000 2024,0,0
GOOD MORNING AGGIELAND!! WAKE UP WAKE UP IT’S FIGHTIN’ TEXAS AGGIE GAMEDAY!! #GIGTHEMALL https://t.co/eYnpOLXooD,Sat Oct 05 12:22:37 +0000 2024,22,0
"Beautiful day for a Fightin' Texas Aggie flyover 👍

#GigEm https://t.co/n6k6YPSMSC",Sat Oct 05 15:59:02 +0000 2024,85,9
Need to be lighting up Albritton Tower like this on the regular. #GigEm https://t.co/iRIQyfBbe0,Sat Oct 05 13:12:12 +0000 2024,2,0
"HOW BOUT THEM FIGHTIN’ TEXAS AGGIES!

THIS. FREAKING. TEAM. Let’s go finish it tomorrow boys! https://t.co/8JRxlkBRdQ",Sun Jun 23 03:54:45 +0000 2024,4,0
Fightin’ Texas Aggies! https://t.co/o78OBmvHcW,Sat Jun 08 22:11:33 +0000 2024,348,13
"AGGIES WIN! 🥳

FOR THE FIRST TIME IN SCHOOL HISTORY, YOUR FIGHTIN’ TEXAS AGGIES ARE PLAYING FOR A BASEBALL NATIONAL TITLE THIS WEEKEND IN OMAHA! 🤩

#AgsWin
#CherTheWin
#BTHOtennessee https://t.co/F898IaAT6I",Thu Jun 20 03:03:39 +0000 2024,583,45
Congrats to our Carys Wolfe - the Newest Loudest Proudest Member of the Fightin Texas Aggies👍🏼Class of 2028 #GigEm #CardinalPROUD @TAMU https://t.co/VuiMAlthPZ,Wed Feb 28 19:48:00 +0000 2024,7,2
Your Fightin' Texas Aggie Band! https://t.co/AxOBsQ74zk,Fri Aug 30 15:40:15 +0000 2024,312,17
"Please join us in congratulating the newest, loudest, and proudest member of the fightin' Texas Aggies, Hudson Roebuck!!!

Congratulations, Hudson, on your acceptance to Texas A&amp;M and best of luck in College Station. We look forward to seeing your continued success. https://t.co/9izW2zKaxH",Tue May 21 11:51:44 +0000 2024,2,0
"YOUR FIGHTIN’ TEXAS AGGIES WIN!

UNO MAS!

9-5

#AgsWin
#CherTheWin
#BTHOtennessee https://t.co/dJHpuP1zyT",Sun Jun 23 03:38:07 +0000 2024,388,28
"👍AGGIE BOUND👍

Please join us in congratulating the newest, loudest, and proudest member of the fightin' Texas Aggies, Letta Byerly!!!

Congratulations, Letta, on your acceptance to Texas A&amp;M and best of luck in College Station. We look forward to seeing your continued success. https://t.co/5RzWKNT1k4",Tue Apr 02 17:02:43 +0000 2024,4,2
I do find it funny to see that the Austin American @statesman has the Fightin' Texas Aggies on their front page right now #Aggies #GigEm https://t.co/WKplOG8W8M,Tue Sep 24 14:39:50 +0000 2024,2,0
"The No. 1 Fightin’ Texas Aggies play baseball today!

#GigEm 
https://t.co/7eTbYQBAam",Thu Apr 18 21:37:58 +0000 2024,2,0
Aggies are so stupid.  Armstrong with a clear first down and the Aggie dback holding up his fist like it’s 4th https://t.co/8pZQmh4fRS,Sat Sep 28 21:01:20 +0000 2024,0,0
"FOR THE FIRST TIME SINCE OCTOBER 16th in 2021, THE FIGHTIN' TEXAS AGGIES HAVE WON A ROAD GAME. https://t.co/rVp3UJIded",Sun Sep 15 00:09:08 +0000 2024,0,0
"UT’s ace pulled in the 1st. More get yanked after that. Ags lead 7-2 in the top of the 6th. Prager did his job. Former sip (Stewart) now with the good guys got us outta of jam. A long way to go still, but great start. Let’s go Fightin Texas Aggies. 12th Man doing their part. https://t.co/Yp6oTKJ9YL",Sun Jun 23 02:10:20 +0000 2024,3,0
"✨#ICYMI - Aggie pride reigns supreme! 👑💪 Our alumni and community showed up and showed out to make this night full of memories, camaraderie, and fun! 🤠🏈🎉 📸 Check out our full album on Facebook 🎟️ And get your tickets for our next #patioparty! ---&gt; https://t.co/b0le3u5sHw https://t.co/91mW8vIMxE",Tue Oct 01 18:23:08 +0000 2024,10,1
"East Greensboro!  Keep an eye out for some, @NCAT_Baseball players around town!  If you want to connect with our young people please reach out!  #playbookforprogress #AggiePride",Thu Oct 03 14:31:00 +0000 2024,28,5
"NOTHING like that AGGIE PRIDE!💙💛
#ncat | #AggiePride | #AggiesDo
📽️: BGMM Media(YT) https://t.co/0JrH3r7bcL",Tue Jul 12 19:11:00 +0000 2022,545,140
"Dr. Tedrick Vernon, DNP CRNA, Alumni NCA&amp;T SON &amp; Duke University Nurse Anesthesia Program, Kappa Alpha Psi Fraternity Member, Co-Chair, Diversity CRNA HBCU School of Nursing Tour 

Dr. Vernon greeting nursing students at NCA&amp;T School of Nursing only way an #Aggie w/ #Pride can do https://t.co/GgBCNBYWWC",Fri Oct 04 20:21:12 +0000 2024,3,0
Aggies in the community!! #AggiePride ⚾️🔥,Thu Oct 03 15:01:30 +0000 2024,4,0
Aggie Pride! @ncatsuaggies https://t.co/6oLjji63Qd,Thu Oct 03 20:23:28 +0000 2024,72,26
"New Student Orientation | Aggie Pride💙💛
📽️: nai.nicolee(IG)
#ncat #aggiepride #ncat26 https://t.co/F6wLtuaFmj",Fri Jun 24 23:02:16 +0000 2022,199,35
#NMSU Pride Band gave me the honor of my career to allow me to direct the Aggie fight song! Thank you @nmsu https://t.co/Ah0ZEiWAPT,Sun Sep 29 03:17:17 +0000 2024,42,3
"Counting down the days, coming for it all 👑

@ladyaggiewbb x #AggiePride 💙🏀💛 https://t.co/j0M1CaHGxS",Thu Oct 03 00:33:29 +0000 2024,108,32
"Sights and Sounds from @UCDfootball upset victory over @VandalFootball last night in the @BigSkyConf Opener! #GoAgs #FindJoy #Shredville

@ucdavisaggies @SamHerderFCS @RockoDeLuca_AD https://t.co/8ZWwHNTmMa",Sun Sep 29 15:51:49 +0000 2024,10,0
Ready to cheer on the Aggies at Richmond this weekend. @Abrownkicking #39 #AggiePride https://t.co/ncE2DTUf8g,Fri Oct 04 19:19:06 +0000 2024,25,7
"Pullin up tomorrow in the ⚪️⚪️🟡

@NCATFootball x #AggiePride https://t.co/CBgQOTl1R4",Fri Sep 27 23:45:45 +0000 2024,50,15
"Say hello to the @MEACSports bowling preseason favorites to claim the championship title 😁😁

AggiePride 💙🎳💛 https://t.co/6bFZz47jZ7",Thu Sep 26 16:14:49 +0000 2024,47,10
Attaboy! #aggiepride #scorpsbaseball,Sat Sep 28 03:18:08 +0000 2024,3,0
Our “Before the @BigSkyConf  Player of the Game” this week is @HastingsMiles QB1 was 25/32 with 3 TD’s and O INT’s. https://t.co/sy57Xi6WCa,Wed Oct 02 21:01:00 +0000 2024,3,0
Let’s go ladies! Aggie. Pride.💙💛🎳,Wed Oct 02 22:22:30 +0000 2024,8,0
