text,timestamp,likes,retweets
"BIG PLAY DAE.

📺 ABC

#GigEm | #BTHOmissouri https://t.co/qCvIFBI7Gm",Sat Oct 05 17:06:08 +0000 2024,260,33
"Pressureeeee 😮‍💨

📺 ABC

#GigEm https://t.co/Mu93xtsxZJ",Sat Oct 05 17:17:52 +0000 2024,3,1
"𝘐𝘵 𝘫𝘶𝘴𝘵 𝘮𝘦𝘢𝘯𝘴 𝘮𝘰𝘳𝘦. 👍

#GigEm | @SEC https://t.co/plwBxlZIbo",Sat Oct 05 15:10:00 +0000 2024,200,18
"GOOOOODDD MORNING BRONCO NATION!!! It’s another beautiful day in the valley and another great day for some BRONCO FOOTBALL 😤🔥 Let’s pound some beers and get ready to round up some Aggies!!! Lemme hear ya: 

BOOOIIISSSSEEE!!!! 👀🔥👀🔥 https://t.co/wbZwMaw6xG",Sat Oct 05 14:35:36 +0000 2024,15,2
"Victory 👍

#GigEm | @BrookshireBros https://t.co/WXhxv75RQe",Sat Sep 28 23:01:29 +0000 2024,1709,358
S/O to @CoachRParsons for putting me on! And to Aggie Football &gt;&gt;&gt; Arkansas for the umteenth time,Sat Oct 05 15:46:56 +0000 2024,5,1
https://t.co/2Y9F3ZNi8X,Fri Sep 27 16:10:06 +0000 2024,12,6
"Headed to the second quarter.

#GigEm | #BTHOmissouri https://t.co/RN884m65zk",Sat Oct 05 16:48:58 +0000 2024,97,8
"Maroon everything.

no joke 😈

#GigEm | #BTHOmissouri | @adidasFballUS https://t.co/ymZ37dFjOW",Thu Oct 03 22:00:09 +0000 2024,2326,287
".@Thomas3Noah with the spin move 😮‍💨 @EASPORTSCollege 

 📺 ABC

#GigEm https://t.co/M7DhaeRMLX",Sat Oct 05 16:33:35 +0000 2024,355,41
"Seeing double.

#GigEm | #BTHOmissouri https://t.co/80LAFUBy3t",Sat Oct 05 15:38:00 +0000 2024,257,26
"In summary:

#GigEm https://t.co/D1dXKH5i86",Sat Oct 05 17:12:14 +0000 2024,37,3
".@12thMan 👂👂👂

#GigEm",Sat Oct 05 16:40:30 +0000 2024,97,13
We have some of them Aggie Boyz at the house for some BBQ and watchin football.. Saturday chillin after a great Win last night.. #AggieAirRaid #DarksideDefense #UsVSUs *God Is Good 🙏🏾💯* @jrock170 https://t.co/X9OHLFfay1,Sun Sep 29 01:09:41 +0000 2024,25,4
"Up and at 'em, #12thMan. It's gameday‼️

#GigEm | #BTHOmissouri https://t.co/AWStYigX6X",Sat Oct 05 12:00:01 +0000 2024,437,55
"Head to toe 😮‍💨

#GigEm | #BTHOmissouri | @adidasFballUS https://t.co/1r46VWtaEl",Thu Oct 03 22:30:00 +0000 2024,587,44
"Another one, thank you

#GigEm",Sat Oct 05 16:51:55 +0000 2024,65,2
"Aggie Nation showed out this past Saturday!

#AggieUp x #RideForTheBrand https://t.co/3B0SbrRBXT",Tue Oct 01 19:30:03 +0000 2024,147,15
"Lobo Football is on a bye week which means you get a ""Buy Week"" deal! Since we beat the Aggies last Saturday by ten, we are offering ten dollars off select seating for our game against Air Force for this weekend only! 
Flash Sale: https://t.co/yfzPOSNTsP

#GoLobos #EarnedNotGiven https://t.co/4YAb62aR8q",Sat Oct 05 14:03:26 +0000 2024,11,4
